geoid,name,estimate_total,estimate_total_male,estimate_total_male_under_5_years,estimate_total_male_5_to_9_years,estimate_total_male_10_to_14_years,estimate_total_male_15_to_17_years,estimate_total_male_18_and_19_years,estimate_total_male_20_years,estimate_total_male_21_years,estimate_total_male_22_to_24_years,estimate_total_male_25_to_29_years,estimate_total_male_30_to_34_years,estimate_total_male_35_to_39_years,estimate_total_male_40_to_44_years,estimate_total_male_45_to_49_years,estimate_total_male_50_to_54_years,estimate_total_male_55_to_59_years,estimate_total_male_60_and_61_years,estimate_total_male_62_to_64_years,estimate_total_male_65_and_66_years,estimate_total_male_67_to_69_years,estimate_total_male_70_to_74_years,estimate_total_male_75_to_79_years,estimate_total_male_80_to_84_years,estimate_total_male_85_years_and_over,estimate_total_female,estimate_total_female_under_5_years,estimate_total_female_5_to_9_years,estimate_total_female_10_to_14_years,estimate_total_female_15_to_17_years,estimate_total_female_18_and_19_years,estimate_total_female_20_years,estimate_total_female_21_years,estimate_total_female_22_to_24_years,estimate_total_female_25_to_29_years,estimate_total_female_30_to_34_years,estimate_total_female_35_to_39_years,estimate_total_female_40_to_44_years,estimate_total_female_45_to_49_years,estimate_total_female_50_to_54_years,estimate_total_female_55_to_59_years,estimate_total_female_60_and_61_years,estimate_total_female_62_to_64_years,estimate_total_female_65_and_66_years,estimate_total_female_67_to_69_years,estimate_total_female_70_to_74_years,estimate_total_female_75_to_79_years,estimate_total_female_80_to_84_years,estimate_total_female_85_years_and_over,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_occupied,estimate_total_vacant,estimate_total_owner_occupied,estimate_total_renter_occupied,estimate_total_less_than_10_0_percent,estimate_total_10_0_to_14_9_percent,estimate_total_15_0_to_19_9_percent,estimate_total_20_0_to_24_9_percent,estimate_total_25_0_to_29_9_percent,estimate_total_30_0_to_34_9_percent,estimate_total_35_0_to_39_9_percent,estimate_total_40_0_to_49_9_percent,estimate_total_50_0_percent_or_more,estimate_total_housing_units_with_a_mortgage,estimate_total_housing_units_with_a_mortgage_less_than_10_0_percent,estimate_total_housing_units_with_a_mortgage_10_0_to_14_9_percent,estimate_total_housing_units_with_a_mortgage_15_0_to_19_9_percent,estimate_total_housing_units_with_a_mortgage_20_0_to_24_9_percent,estimate_total_housing_units_with_a_mortgage_25_0_to_29_9_percent,estimate_total_housing_units_with_a_mortgage_30_0_to_34_9_percent,estimate_total_housing_units_with_a_mortgage_35_0_to_39_9_percent,na
01,Alabama,5054253,2453419,150161,155951,168645,101171,71148,38851,33412,95300,161089,159596,149776,153741,148020,155381,158479,65113,98169,59301,78085,109003,70569,43362,29096,2600834,144256,148657,162282,96878,72654,36767,36355,93463,162502,168150,160148,160832,155805,161834,168617,71804,105036,65936,92132,127678,90834,61366,56848,3303370,1318507,22491,71969,2564,107302,228050,4782613,271640,1969105,347087,1377062,592043,26335,53132,66535,62694,56753,46089,31755,44561,128582,752484,87495,167902,153086,102886,63212,41115,28259,31699
02,Alaska,733971,385319,24436,27335,25291,14496,9943,5338,6031,17327,30531,30725,28714,24602,22226,22601,23076,10363,13431,8693,11635,13725,7576,4474,2750,348652,23389,24440,24587,14484,7571,4409,3804,13187,25463,27517,25523,22678,19735,19706,21116,8885,13196,8053,10792,13058,8642,4657,3760,445545,22774,101226,47099,11379,16144,89804,681498,52473,267865,59745,178369,89496,4381,7916,11522,11121,9073,7540,5992,7434,16363,107677,8222,18219,20138,17612,11691,8527,5096,6594
04,Arizona,7268175,3628694,203936,223974,239740,147371,99462,51200,50824,150974,260657,256006,238093,229186,211994,213330,211589,90084,125450,79429,112298,173545,127362,75786,56404,3639481,195563,213888,230208,140100,94559,45583,48874,141286,242611,239393,226155,219447,210424,213682,220265,93598,138735,87823,132023,193883,139219,87714,84448,4593653,336931,296794,249816,14434,595790,1180757,5012405,2255770,2796790,345653,1873231,923559,35020,70637,104368,115422,102684,80245,62372,83870,207164,1166951,112103,221673,234886,172691,111246,73277,49903,59233
05,Arkansas,3032651,1495958,93143,100745,104064,63501,42469,23027,20408,58769,98144,98587,96026,95288,89174,89652,94619,38045,54733,34793,45580,64544,45022,25300,20325,1536693,89295,95997,98081,61053,39356,19098,21501,58365,96126,99253,97814,94714,89467,90679,94949,41472,59393,38007,51772,74975,53421,36039,35866,2148886,452127,16893,47309,12040,91871,263525,2766818,265833,1189160,193504,786534,402626,18792,40902,50837,46733,38733,32095,21494,29358,75410,419173,51331,95227,88186,55355,35150,22784,13826,19236
06,California,39242785,19605882,1132543,1203889,1339524,794223,523955,266526,265217,774676,1460473,1534612,1436565,1323090,1234486,1251254,1216947,488052,657042,402041,533083,728703,468351,293939,276691,19636903,1081598,1149795,1270013,757427,501792,248910,247765,743734,1389406,1450376,1353301,1286019,1220447,1233122,1226964,494237,690319,436501,591283,843002,573159,386508,461225,17248779,2173343,445219,5997069,147827,6820303,6410245,23611955,15630830,13434847,1097836,7494811,5940036,186088,414143,633628,680212,637954,531004,399245,563009,1594285,5095484,321113,653308,840310,761020,580298,419776,297313,372981
08,Colorado,5810774,2942568,161034,169574,189841,115154,79491,40552,37045,120247,231774,242483,228744,207124,185776,179715,173418,71739,100504,64286,84072,116758,68907,38404,35926,2868206,154436,164264,178424,108155,71790,34421,34322,113490,212441,220691,208874,193870,174302,171277,174672,73435,105138,66529,93399,126102,81378,51906,54890,4268784,232985,58576,187534,8647,315713,738535,4519696,1291078,2325576,219548,1542215,783361,22575,53111,87563,98216,95052,74055,53970,71814,190057,1077887,86992,176294,211054,168949,116478,77701,53870,62577
09,Connecticut,3598348,1765117,92968,98690,111538,71618,49690,24119,22288,73290,113992,114219,114249,109923,105821,120200,126271,52967,73373,43414,56127,77643,50429,31979,30309,1833231,88272,96700,105759,68453,48384,23320,21978,68428,108636,112924,114798,112491,110811,125711,134487,55365,75843,46225,62988,89626,62793,42177,57062,2431342,384753,9569,170954,1806,256744,343180,2957680,640668,1420170,115879,939912,480258,18234,35967,54028,55952,55261,39631,30661,40701,120248,614346,45689,100989,122278,96245,64614,43229,29228,33971
10,Delaware,1005872,487585,27732,29301,31112,18660,13050,6645,6449,16443,30881,32935,30819,28699,26838,29813,33400,13058,20879,12154,18492,26283,16249,10279,7414,518287,26813,28438,29832,18508,13443,6951,6069,15984,30894,33636,29673,31910,28613,32247,34745,16292,23855,15762,21345,28754,19854,12492,12177,621799,220645,3744,41164,403,41233,76884,898043,107829,396209,61749,286340,109869,4273,8287,14473,12215,13214,9532,7435,8471,25150,184620,18798,36961,35835,27765,18039,11206,8039,8956
11,District of Columbia,672079,320001,20900,16631,18140,8063,7941,3461,3489,12902,33035,37060,30450,23965,18475,17738,16897,6179,9119,5577,7063,9243,6560,3700,3413,352078,20016,18833,15070,8022,9504,4018,4416,16267,40335,39842,31505,24617,18542,17194,16232,7303,10417,6856,8454,12813,9016,6360,6446,262549,290772,2044,27465,378,32338,56533,594319,77760,321556,34545,132288,189268,10033,15949,23826,24953,21727,19033,11970,13037,39573,100754,9425,20013,18856,16026,10504,6307,4401,4957
12,Florida,21928881,10773620,569527,595424,648071,388497,258073,127499,127489,387124,683899,724968,700637,673743,656889,692944,719040,298553,418041,263927,371669,557970,424984,258617,226035,11155261,544801,571351,614542,373153,245708,127027,129008,371288,663694,707335,687968,675765,668191,707299,765306,316725,458569,304048,424848,644517,488763,326914,338441,13136701,3363769,66779,628137,13136,1222567,3497792,16063144,5865737,8550911,1531445,5756809,2794102,67025,153531,256411,305396,298049,254780,201359,290315,789209,3256684,244299,489343,583011,474779,344501,243442,174427,211346
13,Georgia,10822590,5281762,327550,351395,384351,235542,152700,77338,75125,217272,368321,366516,352802,348682,337042,347031,334450,130589,178324,109744,141454,196035,125036,70397,54066,5540828,311561,338808,368035,224830,148188,74102,74584,208149,372134,382604,375318,367813,356994,360642,356684,138457,197394,123268,166927,237647,159872,98517,98300,5677531,3391689,42058,472915,7338,448586,782473,9664291,1158299,4008013,475860,2619529,1388484,50020,109991,155931,163876,143601,113683,90457,121694,333991,1672972,167253,340484,333631,246804,151746,103314,65932,81706
15,Hawaii,1445635,727473,42350,43510,45066,24677,15755,8376,10087,30117,49801,51069,51009,46452,42556,43979,44801,18809,26930,17557,25055,36378,24999,14088,14052,718162,39671,39930,42876,23392,13769,7121,7688,23899,45244,48387,48563,45129,41908,43341,44171,18369,29191,20071,26442,37542,28041,17938,25479,325356,27740,3835,538807,149030,24334,376533,1303410,142225,488991,75914,305869,183122,6606,11667,17885,19439,18088,17196,12513,17733,47595,194502,14063,22259,29522,26878,21903,17268,11982,15842
16,Idaho,1893296,952080,57953,65629,70855,43375,27822,13809,14065,37532,62964,62299,62944,62297,55712,53711,54200,23288,33891,21949,28906,43502,26831,16749,11797,941216,55313,62321,67122,40599,32908,12978,12233,34463,58882,61010,60460,60545,52535,51841,54495,23252,35602,23909,29936,44750,29865,18118,18079,1578020,14108,21532,24979,3098,92163,159396,1640830,252466,693821,82862,502140,191681,8786,16074,24599,24657,21389,17091,13230,16441,35005,316529,29907,57860,64049,49114,29967,21960,14999,16223
17,Illinois,12692653,6270399,362400,392301,419982,260929,168464,83209,80129,251727,430614,437015,431197,415213,391454,402253,412341,167115,228680,143359,186138,257422,159244,100106,89107,6422254,346230,376630,400045,250362,158966,77390,77961,247321,425820,429453,426799,407872,390807,403341,416744,175460,244596,153364,211428,294517,202434,138318,166396,8038512,1750414,66990,738308,5514,920254,1172661,10344535,2348118,5001904,441597,3343034,1658870,72101,154929,208770,202953,173546,134972,93662,126999,371421,2056770,173619,388168,424164,314821,207386,131780,86359,104781
18,Indiana,6811752,3377011,211427,226008,236178,145150,98798,48264,50572,138577,226996,222664,218069,213451,203190,209680,215512,87251,125111,74600,103415,140212,86293,51649,43944,3434741,200396,212084,226673,138155,91236,48200,46798,133932,221268,220732,216929,211642,201518,208150,217683,91585,131570,82112,111344,159873,107887,71441,83533,5347678,630680,17208,172936,2345,213942,426963,6242342,569410,2681537,271807,1886485,795052,32594,73776,100110,94454,84894,67076,47645,61618,170962,1211815,150243,297991,260758,163913,98580,63290,38724,45949
19,Iowa,3195937,1601453,96761,106024,107954,66992,48704,25345,23322,66897,102959,100257,105145,101840,90618,94126,98542,43613,62377,37422,52806,71794,42624,28727,26604,1594484,91819,98896,104565,63568,44765,24368,22885,62596,95567,97088,100374,95492,87236,90645,98563,44488,62465,39478,54398,75965,52918,38674,47671,2735263,123234,10998,78267,4396,64571,179208,2972466,223471,1303763,123412,932618,371145,19087,39423,49558,46367,39224,29485,19974,25656,74094,556909,55499,126450,127398,83619,51527,30752,19599,21128
20,Kansas,2937569,1473655,92412,100547,105074,64157,44225,24327,23362,65526,97571,95098,101031,90599,83475,84446,87889,37778,54243,34308,45163,59681,37843,23124,21776,1463914,87048,94796,100765,60022,41518,20535,20323,59639,90953,92336,96989,87152,79901,82179,88344,39379,57271,34170,46903,68677,43998,31629,39387,2289052,159829,21898,86212,2586,115004,262988,2548055,389514,1160715,124506,776311,384404,18905,40656,52166,51659,39435,31178,21268,29664,73188,448091,39467,94177,103071,71496,42531,26147,17282,18296
21,Kentucky,4510725,2233870,137243,146315,149526,91518,57922,31380,29931,91275,152348,147832,142631,140474,138175,142693,145176,59889,84658,50231,72306,98834,61544,36187,25782,2276855,130120,136609,144668,86747,55567,29027,29316,85404,143179,145281,142819,139601,137419,142409,149606,63652,92320,59478,78186,110159,77249,49276,48763,3774581,355237,7610,68482,3737,67198,233880,4298562,212163,1791991,218664,1223574,568417,27759,58715,68977,62933,60604,43903,32173,38030,112518,694663,75568,155073,151640,95963,60560,37245,26806,29496
22,Louisiana,4621025,2262822,147818,152833,160719,95119,60378,32831,31020,89423,151182,156722,156237,145840,129356,133264,140231,59317,84752,50563,68407,96681,58693,32967,28469,2358203,141253,144153,156292,90476,56736,35055,32157,84508,152376,162216,160350,147624,133480,137914,149319,64654,91566,55986,80450,110625,74878,46276,49859,2678942,1434953,27605,79925,2884,107185,289531,4300003,321022,1783168,310834,1200407,582761,25057,44612,56356,56166,51078,42633,32572,46491,151251,628033,66521,124898,123690,85263,57930,36564,27142,31620
23,Maine,1377400,678363,32281,35182,38170,23918,17164,8933,7180,22639,40381,43084,42065,40101,40274,45122,49176,22149,31882,19668,28456,39069,25038,14767,11664,699037,30634,34496,34477,22724,16143,7634,8600,20595,39578,43192,42466,40520,40568,45950,52782,23233,32946,22177,29661,42764,27852,19280,20765,1258122,23145,6237,15318,276,9593,64709,1348791,28609,589085,157467,436029,153056,5915,11697,18775,17342,19930,14899,10457,10923,28783,256435,21902,48421,53028,38395,25513,16603,11268,13206
24,Maryland,6170738,3002079,182914,193230,203989,122443,78119,38262,36983,109846,195565,210307,211247,195961,185417,198438,203244,82929,114137,65466,88482,120245,76538,47263,41054,3168659,176426,185013,194158,117763,76283,35838,35126,111532,197342,215239,217921,204542,194056,211178,217609,88191,126271,76025,102119,145467,98799,65947,75814,3060731,1825880,23158,398305,2556,401540,458568,5426466,744272,2339510,206022,1578702,760808,25821,57431,87431,96350,85261,65920,50588,68698,182896,1128986,96059,209986,236237,173094,113734,76311,49462,53961
25,Massachusetts,6992395,3416765,179662,188367,204240,129192,100538,48321,47064,139683,245477,248496,230755,214775,204806,226103,239943,94192,135038,81497,109188,146551,93265,56501,53111,3575630,170673,177973,195678,122623,104233,47721,47612,143185,242658,247521,234061,218985,212313,235953,247809,96780,148616,87014,121467,175721,117757,77656,101621,4945674,489390,16406,494890,2593,379870,663572,6087716,904679,2762070,252587,1728986,1033084,42471,80996,114755,121403,119014,94338,66936,85232,251686,1159853,88891,193702,225037,181234,121759,82725,56753,65809
26,Michigan,10051595,4982079,281634,304128,319024,200791,133263,70801,69349,200696,338964,330832,306895,300264,291992,321015,334261,143125,205871,125793,170545,230093,141676,86186,74881,5069516,267907,283986,306804,190519,128483,67374,69151,190233,323747,322127,308908,293418,294932,322557,343549,142968,217120,135034,183026,260991,169462,114016,133204,7516312,1346689,46010,329676,2670,176786,633452,9474787,576808,4040168,559515,2946157,1094011,43771,97336,127069,125101,115451,91155,63239,86850,259485,1723898,178105,375469,364063,250497,154469,100587,63984,74837
27,Minnesota,5713716,2862134,173085,187961,194008,117404,74660,35112,36844,106837,187384,195574,201153,189928,166543,175348,186745,77022,112110,65644,90615,122538,73626,48186,43807,2851582,166020,176433,188767,113581,70790,36437,34858,103329,180256,186662,193789,180273,158997,168997,183559,78419,112688,68136,95111,129915,88806,60458,75301,4476710,388789,50833,289148,2376,151560,354300,5360108,353608,2282967,236571,1652534,630433,24760,54971,78518,83065,73602,57002,37911,49465,136706,1069993,93488,219550,239175,169728,104682,66545,41048,46758
28,Mississippi,2951438,1431521,91013,90529,107908,63287,44322,21916,21173,58035,92652,90441,89573,90215,85186,87482,88016,38275,54075,32523,43528,63032,39430,22302,16608,1519917,86132,91470,100150,61846,43362,22569,20769,56659,93181,94756,94963,96409,90473,92894,94318,40486,61788,38371,50488,72346,49270,34044,33173,1661873,1090777,13181,28918,1411,49104,106174,2845312,106126,1131760,201051,786289,345471,13563,29692,33667,35778,31932,26934,19207,26861,74659,391397,39785,83357,73937,52323,36776,23735,16915,18818
29,Missouri,6168181,3040690,184154,197790,203196,125612,82642,41227,42326,120980,202862,203538,203536,189205,176416,183408,196640,84561,119132,72593,96526,132094,85638,50703,45911,3127491,175761,184286,196393,119379,78657,40152,40508,117686,200202,206439,201885,188765,177477,186609,203069,87579,126980,77896,106695,154394,104902,74626,77151,4831646,686616,16830,127846,9681,106663,388899,5856257,311924,2484834,324667,1688072,796762,34366,78582,105670,98128,85690,65278,46685,59406,160193,1022850,108405,228192,220276,152846,92473,58178,35480,42123
30,Montana,1105072,560035,30383,33436,35878,21428,14334,7365,8029,22945,36492,36965,37434,35381,30774,31468,33414,16102,23399,14337,21618,30483,19304,10812,8254,545037,28449,31791,33542,20035,12399,8046,7439,19238,33891,34906,34831,33594,29368,30022,35152,15936,23541,15999,22388,29665,19644,12309,12852,946776,6015,63108,9197,485,13423,66068,1056553,48519,452683,70256,314266,138417,8679,12452,16885,15713,14633,11804,8144,10171,26707,172686,12658,28298,34710,27316,18667,12849,8426,9962
31,Nebraska,1965926,987506,64916,68396,72693,43190,28198,13923,13792,42056,65142,64579,67793,62978,56350,56246,57339,26005,36536,21887,29936,40365,24585,15998,14603,978420,62089,65474,67392,40600,26433,12798,13288,40432,62321,61788,64224,60208,53087,53777,56768,25490,37460,22484,31884,44783,29249,20694,25697,1570391,93595,19581,49107,933,83156,149163,1723700,242226,786885,68746,523603,263282,12441,28253,35016,32690,28825,21649,14772,20810,50200,308676,27472,63762,71320,49409,29896,18053,10674,12930
32,Nevada,3141000,1582476,90263,96522,105634,62096,36039,18806,19621,55446,112071,118849,113062,107457,99361,102867,100288,39678,56973,35047,48053,71013,48412,26400,18518,1558524,86694,93457,98974,59231,32840,18782,16159,54355,107814,114167,107745,102396,97022,98689,99135,38423,57667,38323,52408,76024,51648,29638,26933,1670302,295802,41434,274032,22581,370951,465898,2223943,917057,1183393,123945,701914,481479,14075,34144,53672,54538,51297,42852,32106,48247,123456,465911,39105,76165,85907,70486,49008,32434,22963,26318
33,New Hampshire,1387834,692568,32082,35493,38937,24974,18324,9472,8669,25362,44584,46703,43378,42201,40573,48031,53884,22450,31694,19175,26046,35409,21998,12575,10554,695266,31123,33009,37540,23748,17858,9079,8436,24506,40889,43689,42881,39734,40721,47740,53855,23013,32677,19250,25751,39865,25154,16904,17844,1234149,21164,1923,35818,283,17835,76662,1325076,62758,551186,93067,399663,151523,4984,11631,19391,19153,20023,14052,9907,13009,31444,252590,16840,39146,53376,44786,27595,19656,12368,14652
